Date,Full Retreat and Summaries,Title of Event,#,Transcript or Writing,Title of Talk or Writing,Link,Broad Topics,Detailed Topics
2006-10-01,,"Silent Autumn Retreat, Finland",2,2006_1001 Mindfulness.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/JZHt95Bf04BK6R3jt93BeA/jWQRlvW1H47q85kR4sa76bIjsHJKQzKZdTAzn-_FqTNfm7SxHpcUA8Qe2sOW4MYQCF0vG_pTOYPUmyJ_-Z7MGI6nSk_x3Q3aEGQ_JDT38V8/-Z5XeigwGXeBu3aW7drHIj-kreRMn2Hz18Qu4DwVpy8),Mindfulness,https://drive.google.com/file/d/15NN2DmuDqjAHqSZWFZokRosrmwANa7F2/view?usp=sharing,emptiness/insight,"mindfulness,emptiness/insight: personal vs universal vs ultimate insight,clarity/vividness as a stage or bandwidth of unfabricating,emotions,sensitivity,""mindfulness, foundations of"",mindfulness: RAIN,dukkha (suffering)"
2006-10-01,,"Silent Autumn Retreat, Finland",3,2006_1003 Tuesday Morning Instructions.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/rUFozP8mlNknDmg0CyMXBA/hkxX1LEvCLUJFK9K9NuAJcxYYAQGz4VYSV_BI4g9cQDp8ZpzZaS7BRByHdCAp77jcoi5FBfmr9LC-D6BT90vtSap3LX5P838RQdfDfef6NvFCSAGginK4zRACCVYBJO4/KKRfynidLV0J7P79-SfjvXxQuv5c2kv8Ir4OaKQPhtI),Tuesday Morning Instructions,https://drive.google.com/file/d/1X6Hgz9t2gP4Qw5e8VzaAJ42fJcXrrkYA/view?usp=sharing,emptiness/insight,"mindfulness,""mindfulness, foundations of: second foundation (vedana)"",""mindfulness, foundations of"""
2006-10-01,,"Silent Autumn Retreat, Finland",4,2006_1003 Letting Go of Judgement.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/CCLG-xGzawRuN9JvmIZYEg/9qeEatN9uylkvVXyr-fVqqLr118uwGJdKyjtq86dzFkZY9dPgeeYWHyuUPN7gM0npZv-wdO82pXDc8QoHW0XjWgVBiiDdyHC1WimOQMp7cgJDZkuH0TGmZjTQJgIj2AU/08LxqzFIjq6oO2S6eMW59zFIe6POEKioRQ0y9vF4tTo),Letting Go of Judgement,https://drive.google.com/file/d/1aVrW3ZfY-xVQe4tjMV9ZOWUfCB5kRz5P/view?usp=sharing,emptiness/insight,"mindfulness,judgment vs discernment,judgment/inner critic,""mindfulness, foundations of"",metta,views/orientations in practice,working with thought in practice"
2006-10-01,,"Silent Autumn Retreat, Finland",5,2006_1005 Thursday Morning Instructions.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/86EH77DCtW1aq2L8RIYDTQ/ysTKbt3HVXufSd93plWg0z2MquuWg6XGeFIZeHPR6nkckrYBNZkFUSaP9h4WA4AcDMqReWZOCPMZvfL8hps6zv3yOa6u_WNvJ8zpBKw3idZjs-tldRLZ32Ui6y1hK8YI/VXltw_f66qLt_XQQ31nHzkSG-dr1z_ZrxQ09mII_6Vc),Thursday Morning Instructions,https://drive.google.com/file/d/1lNzYPrxBVy1DYpDHWFf27AsfOB4Qtapd/view?usp=sharing,emptiness/insight,"mindfulness,""mindfulness, foundations of"",""mindfulness, foundations of: third foundation (citta)"",emotions,working with thought in practice,labeling in practice"
2006-10-01,,"Silent Autumn Retreat, Finland",6,2006_1005 Renunciation and Joy.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/8HGv5bLrYylYjWvpyZJUjg/noOB4F0DZHR_JA0DNDKaN_EaVxadfJT3Vn0o2pz5pKEqPpJbJTAAgk4TnmBZgIwqKLDZpCxLPx0v7VOmDNFI2FiFjhwOCC_yF5fyMHIMRQstHo1Aku3zphXFU5DE7ndj/AEqobsx7vS6tS5rHI2BvevqmkrApFyVti-YpRYaZKx4),Renunciation and Joy,https://drive.google.com/file/d/1zxNYYanNk26FgCgqn6mfexkQ30fQoSbz/view?usp=sharing,brahmaviharas,"joy,renunciation/letting go,sensitivity,aging/sickness/death"
2006-10-17,,Talk Given Between Retreats,1,2006_1017 Letting Go of Judgement.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/Wm5a0N3j9hJhslg9BuDOYQ/sljtxlXvSKnVrlGznE6Lf3Q_Quhit0JfhsPpn6Mrk-RjrV3CHvnKpTQtQaCJ2WeTAxMO-4fK7dT-XYrOacTbMmZHhFKwon9H2XHAruoGo6Q8j-icd4Jm2GxWB8GjjlCx/km-UgMbVylua3wflkz2DJeUrHbAqRYC4smBpiWyjiVE),Letting Go of Judgement,https://dharmaseed.org/teacher/210/talk/21014/,emptiness/insight,"mindfulness,judgment vs discernment,judgment/inner critic,""mindfulness, foundations of"",metta,views/orientations in practice,working with thought in practice"
2006-11-04,2006_1104 November Solitary.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/U0OnyBoUvYn8cUQoVnb9IA/3-Ib4kKGcEn0W_moq97LVjuVMDaMvgqp02qQMtwcWRXoqb8KrQQxEbgxXZGbpnyHzWBM4FVBtPuR_in28yZuVyXjpMptToytGqSpDUjuZP9t4PFDd-pmzM21RIYg6rvu/hZFph8dN0QYVpJVzSKRQAx7eP692eHDUXZ-q6sikxeo),November Solitary,1,2006_1104 From Feelings to Freedom - Exploring Vedana.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/hv4B-ltSnlZL31w1v0H8sg/qe-m5SKATOZZnsU2eRfF26U-X-8ku1uT2tbOVQxAMS0CIoG0KgzMG27uY99a7cTa6YwkUSss4Z08PDaHKPcDSinLkS_0UzRvckeSeitxfcFa8-NXjOuu64Mxop10_4Uz-jGo7dMu8y0EUJKKFJ4ihQ/LTaaEsuvwT3S7dTFHJPu7yt9koBAuOYukYYRQurvEqA),From Feelings to Freedom (Exploring Vedana),https://dharmaseed.org/teacher/210/talk/12482/,emptiness/insight,"mindfulness,""mindfulness, foundations of: second foundation (vedana)"",working with pain / discomfort,""mindfulness, foundations of"",sensitivity,three characteristics,""emptiness/insight: dependent arising, mutual dependence"",""emptiness/insight: fading, unfabricating"""
2006-11-07,,November Solitary,2,2006_1107 Samadhi.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/CYIPte88QUoAAxo1FQNCpg/3UzT7DJIKSZjAxXqPTPRFHp8PbEFH3KRRFEjHuueV_yCHCP0eEtzpz0CjKJvzzlOn2H9w0Q67xHjjI_-pvxOXK_xIwq6IAwNh8YUq21UJhg/usr7tz0jeXg3FyGBlZ89fuM-9KQX7fuX22V6dGJhY5s),Samadhi,https://dharmaseed.org/teacher/210/talk/12483/,samadhi/jhana,"samadhi,definitions: samadhi,""subtlety, subtlizing of attention and experience"",breath meditation,awakening: necessary elements for liberation,emptiness/insight: cementing and consolidating insights,samadhi: dependent on and leading to happiness,working with tightness in samadhi practice,samadhi: using the body to navigate,active versus receptive modes of practice,goals and effort,attachment: the place of attachment on the path,piti,repression / suppression"
2006-11-16,,November Solitary,3,2006_1116 Emotional Healing.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/kNvx_XD-gQRNZcAEuo4lFw/Z_c3srQnDfQg-aLiA-5sw2-ByxzUOef89vzd78deM5_rMRdmEItKUiijIeBCeOTRRuWF5U5sdHJ3xnFKaqiLA859jvhSlDzisLqAxAM4RoZJt7pVB7pHAj7VRh_gM6rV/o0JN5K6xMV6N-T1ylf0OjH51iqYiFma9p5XIkf4O5jE),Emotional Healing,https://dharmaseed.org/teacher/210/talk/12481/,other topics,"emotions,""emotions: increase energy in attention, decrease in emotion"",mindfulness,""emotions: range, ability to be with, unknotting, confidence"",insight and cultivation (aspects or wings of the path),""self-views, noticing and practicing with"",personality level - working with reified self,purification / stored psychological material,not-self (anatta),emptiness: what is emptiness?,views/orientations in practice,emotions / mind states: how views/assumptions affect practice"
2006-11-22,,November Solitary,4,2006_1122 The Nature of Awareness.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/mgZ3SM0mHuq9XV37Zuxv6w/weqJtM-PscBln_gE5H-TwhwdtBqgVolCvcFeCi84IN7YKUw8KxQDF_3Xe45ggaOkHivxKyFiafLBErgNmaFbpa-vRPh5C3iK_V2ZTViMyXg1UrX7AXFQ0Pn10NEp3fdZ/YJ7fd2Tun24B56__YfmJ-RAoeHD8w2-ifJm4JeeRwBA),The Nature of Awareness,https://dharmaseed.org/teacher/210/talk/12484/,emptiness/insight,"emptiness/insight: the nature of mind or awareness,""emptiness/insight: fading, unfabricating"",""emptiness: dependence on mind, mind's dependence"",mind as a mirror metaphor,beyond spaciousness/the vastness of awareness,three characteristics,not-self (anatta),the Unfabricated,Practice: same substance as awareness,emptiness of time,""emptiness/insight: dependent arising, mutual dependence"",Practice: mutual emptiness of consciousness and perception,""non-doing, reluctance to 'do' in practice"""
2006-12-28,2006_1228 New Year Retreat.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/JHp1eLR6CwQMqOGxIiL_Cw/awyAnHo4zlSr4s9migp3NAPcRIQGDitxv-d0SgnUYbwyyQgw2VTS1WBhVA9GxVRdtcGKLD_cRwBEiXmy3F6UqT2rYlgrZiFbxR09g8BwpAKrs1-4JOK3AxFVERzT5w6d/DudxVrRNJg74O_6VYllYwab_Kb1GtbdwnfzE0e6se0A),New Year Retreat,1,2006_1228 Equanimity.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/z463MKejFRicGT_hW4NfNA/A6PJuXtVg45n9F17yUCYy-G2XpWnx8sHkHfNZJOZmz54hAgulc7RJDgzzMizjAskHtMNkYTVm5LozEOZVFcRhdQnLLkXRj4NkxjyYwDe4Fg/yIu2WwdKrKw8ASxQPRKvxpInEn5Zp52W74BcgCcHDE0),Equanimity,https://dharmaseed.org/teacher/210/talk/12307/,brahmaviharas,"equanimity,worldly winds,equanimity: near enemies,definitions: equanimity,equanimity: ways it can arise,impermanence (anicca),wonder,joy,""emptiness/insight: fading, unfabricating"",""emptiness/insight: understanding, not just having experiences"""
2006-12-31,,New Year Retreat,2,2006_1231 Views in Practice - They Make All the Difference.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/vt6HDY4RxrNVLwNoh2ej_w/2hf-qoIDP12hXD5Q7m_ygjIx-SUDKVWgx0dWOnvOrI3YCWESAR1yiWZlDRloM2H-nkzGNiI5pdpdVBnBpbVJH8hvw1F9Lgibzpv0NVOeP9ypoN8z1o1VbD1ulg3AUrYHno3Aa9V-r4MqjSUpsVuoCA/Dizeuf6GY0TcnT9VJk57rYsaNmbJ7t2wfytVjIznOTo),Views In Practice (...They Make All the Difference),https://dharmaseed.org/teacher/210/talk/12308/,emptiness/insight,"views/orientations in practice,Four Noble Truths,ethics/engagement,eightfold path,insight and cultivation (aspects or wings of the path),three characteristics,purification / stored psychological material,""non-doing, reluctance to 'do' in practice"""
2007-01-22,2007_0122 Lovingkindness and Compassion As a Path to Awakening.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/ZwJAAIxqpABZHv0ts3b3xg/DU3jKVhlDnnkk5VC8425D3AW1lK53SkG4iKUeVkjELSv7hcUBJKK2eyM0Z1Y4NpTZsWnPv2rJvjzBJuRSjEBKgEstXC8FSqOaEglRHYQ3KJIp474Lqyp2lqziw_wsrdRr6bdJATpHOFwywZR9WrazuDDBsT6hoEqBBWi8byq9Wg/KUJTRAc-vaz2UnJU-ZtvxRKnTUdniegubexZeZdtRbY),Lovingkindness and Compassion as a Path to Awakening,1,2007_0122 Samadhi in Metta Practice.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/7C90fBuR4hVjVHdcFLHgnA/E9KlZf2VBCCpiFvUv2tAE51Nv477o5NcC_3-rG3eOzl1vFijffLxbCnAI-0RbNJm4pQagpeODSEsncR493Az7Nv51zs2b_G9U04hu59vChdT01MGtXB6MBQR67wHtDwS/PxVqxAxaeJVbd1mpSIOmnGXMXuN9Hurm6yhp1HCJ0VM),Samadhi in Metta Practice,https://dharmaseed.org/teacher/210/talk/12294/,"brahmaviharas,samadhi/jhana","metta,samadhi,piti,definitions: samadhi,samadhi: focus on one object or a wider open field,samadhi: how and why it develops,samadhi: dependent on and leading to happiness,gratitude and appreciation,working with tightness in samadhi practice,goals and effort,repression / suppression"
2007-01-25,,Lovingkindness and Compassion as a Path to Awakening,2,2007_0125 Expressions of Metta.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/7IeY2HH2Keku8wjeYYVX8A/x0VkyaQacXKpeiDfGMkwKuxtmgdSCZrfm5c1XKqi-bDY5fHvPV93Pwth0R9s2JaGDx_DzACbB07NE55RbSZqYiuLDlBMX2yNRtCz34F74NDtSwj_yF6QQuh2QgphrK7s/5sk99qPsGsKAi13IGBnNaW8uSqoVIXQKudLMECGTDb8),Expressions of Metta,https://dharmaseed.org/teacher/210/talk/12290/,brahmaviharas,"metta,metta: working with categories,metta to self,metta to friend,metta: near enemies,metta to neutral person,emotions / mind states: anger,metta: practicing with the body,emotions / mind states: guilt or remorse"
2007-01-27,,Lovingkindness and Compassion as a Path to Awakening,3,2007_0127 From Insight to Love.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/K_ntAomm1UDPjHpicbDsfA/wZHRF0lUqa5eb050KrZIfkTGSb6pwYumBq2v2IFCNqioolbJc0xRDlUw6lSm6xrXbXeND-ZG05oEuTuIYK1F5aBe8PDjICdpuAmsvz-BViA9UsDHIQFK_QL5p3x5TdS4/0e26Wwllw_0scRQcb2QOOmXXtL3U1p_5Xj-Z05GI0VY),From Insight to Love,https://dharmaseed.org/teacher/210/talk/12291/,"brahmaviharas,emptiness/insight","metta,emptiness/insight leads to more care and love,definitions: what is insight?,emotions / mind states: fear and anxiety,not-self (anatta),three characteristics,critique: anguish and fear as stages of insight,impermanence (anicca),dukkha (suffering),emptiness/insight: list of impermanence (anicca) practices,emptiness/insight: list of dukkha (suffering) practices,emptiness/insight: list of anatta (emptiness of self) practices,""oneness/vastness, different flavors of (love, awareness, etc.)"",aging/sickness/death"
2007-02-01,,Lovingkindness and Compassion as a Path to Awakening,4,2007_0201 The Practice of Compassion.pdf (https://v5.airtableusercontent.com/v1/14/14/1673553600000/IEGSPrBinJGXW5tB76WdQA/kPni8IGImubORV0v7CzmWqFdc4q2Z69GegR0DEutdub7nno_QmrxkxWofgtPsL0KZEtyfnUufiIE6R3uclEsJruXrVtgCTUgTFaHNdSq-Za1Sv_5Rl5Qz2s-faCoWnus/gAF62Xv0ciE8xo-Qy3I7SS8hrycdFtNEVzmEvIS29yM),The Practice of Compassion,https://dharmaseed.org/teacher/210/talk/12295/,brahmaviharas,"compassion,inquiring,compassion: near enemies,compassion to self,emptiness/insight: cementing and consolidating insights,Practice: compassion to ownerless mind moments,""emptiness: dependence on mind, mind's dependence"",equanimity,ethics/engagement,compassionate action and attachment"
